freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.200e+03,2.400e+02,2.437e+02,5.684e+03
1.3,2.510e+04,1.128e+03,1.014e+03,2.725e+04
2.6,2.844e+04,1.276e+03,8.364e+02,3.055e+04
4.0,3.228e+04,1.202e+03,8.105e+02,3.429e+04
5.3,3.308e+04,1.190e+03,9.534e+02,3.522e+04
6.6,3.656e+04,1.140e+03,1.005e+03,3.870e+04
7.9,3.467e+04,1.295e+03,1.140e+03,3.710e+04
9.2,3.637e+04,1.376e+03,1.255e+03,3.900e+04
10.6,4.112e+04,1.361e+03,1.285e+03,4.376e+04
11.9,3.835e+04,1.212e+03,1.074e+03,4.064e+04
13.2,4.237e+04,1.233e+03,9.937e+02,4.460e+04
14.5,4.188e+04,1.275e+03,1.192e+03,4.434e+04
15.8,4.292e+04,1.307e+03,1.267e+03,4.550e+04
17.2,4.294e+04,1.354e+03,1.288e+03,4.558e+04
18.5,4.929e+04,1.544e+03,1.644e+03,5.248e+04
19.8,5.724e+04,1.622e+03,1.585e+03,6.045e+04
21.1,6.246e+04,1.498e+03,1.595e+03,6.555e+04
22.4,6.878e+04,1.714e+03,1.733e+03,7.223e+04
23.8,6.129e+04,1.704e+03,1.580e+03,6.458e+04
25.1,5.648e+04,1.630e+03,1.425e+03,5.953e+04
26.4,7.002e+04,1.702e+03,1.623e+03,7.334e+04
27.7,8.125e+04,1.605e+03,2.162e+03,8.502e+04
29.0,8.217e+04,1.644e+03,1.956e+03,8.577e+04
30.4,8.240e+04,1.657e+03,1.500e+03,8.556e+04
31.7,8.203e+04,1.807e+03,1.588e+03,8.543e+04
33.0,9.121e+04,1.632e+03,1.720e+03,9.456e+04
34.3,1.010e+05,1.787e+03,1.649e+03,1.044e+05
35.6,1.159e+05,1.966e+03,2.249e+03,1.201e+05
37.0,1.199e+05,2.162e+03,2.155e+03,1.242e+05
38.3,1.081e+05,2.191e+03,2.008e+03,1.123e+05
39.6,1.025e+05,2.171e+03,1.648e+03,1.063e+05
40.9,9.762e+04,2.243e+03,1.396e+03,1.013e+05
42.2,9.250e+04,2.064e+03,1.349e+03,9.591e+04
43.6,9.423e+04,2.089e+03,1.378e+03,9.770e+04
44.9,1.102e+05,2.278e+03,1.585e+03,1.141e+05
46.2,1.213e+05,2.970e+03,2.244e+03,1.265e+05
47.5,1.255e+05,2.801e+03,2.540e+03,1.308e+05
48.8,1.261e+05,2.715e+03,2.528e+03,1.314e+05
50.2,1.356e+05,3.520e+03,2.734e+03,1.419e+05
51.5,1.340e+05,3.957e+03,3.082e+03,1.410e+05
52.8,1.363e+05,4.209e+03,2.980e+03,1.435e+05
54.1,1.490e+05,3.985e+03,2.790e+03,1.558e+05
55.4,1.687e+05,5.265e+03,3.691e+03,1.776e+05
56.8,1.719e+05,5.106e+03,4.121e+03,1.811e+05
58.1,2.027e+05,4.303e+03,3.868e+03,2.108e+05
59.4,2.753e+05,4.797e+03,4.109e+03,2.842e+05
60.7,3.422e+05,5.672e+03,4.738e+03,3.527e+05
62.0,3.774e+05,6.733e+03,6.194e+03,3.904e+05
63.4,4.821e+05,5.891e+03,9.408e+03,4.974e+05
64.7,5.471e+05,5.788e+03,1.638e+04,5.692e+05
66.0,6.077e+05,6.363e+03,3.345e+04,6.475e+05
67.3,8.044e+05,9.863e+03,7.719e+04,8.914e+05
68.7,7.967e+05,1.199e+04,7.304e+04,8.817e+05
70.0,7.963e+05,1.241e+04,4.106e+04,8.498e+05
71.3,6.180e+05,9.838e+03,1.381e+04,6.417e+05
72.6,4.521e+05,9.247e+03,5.203e+03,4.665e+05
73.9,4.537e+05,8.674e+03,5.243e+03,4.676e+05
75.3,5.646e+05,9.480e+03,5.225e+03,5.793e+05
76.6,5.784e+05,8.721e+03,4.585e+03,5.917e+05
77.9,5.968e+05,9.149e+03,4.305e+03,6.102e+05
79.2,5.596e+05,8.182e+03,3.460e+03,5.712e+05
80.5,5.025e+05,8.065e+03,4.149e+03,5.147e+05
81.9,6.026e+05,9.540e+03,6.263e+03,6.184e+05
83.2,4.593e+05,8.039e+03,5.708e+03,4.730e+05
84.5,4.847e+05,6.313e+03,4.560e+03,4.956e+05
85.8,5.011e+05,5.652e+03,3.365e+03,5.101e+05
87.1,4.396e+05,5.777e+03,3.260e+03,4.486e+05
88.5,3.891e+05,6.328e+03,3.488e+03,3.989e+05
89.8,4.214e+05,7.185e+03,3.710e+03,4.323e+05
91.1,3.428e+05,7.641e+03,3.593e+03,3.540e+05
92.4,3.040e+05,7.907e+03,4.025e+03,3.159e+05
93.7,2.856e+05,8.764e+03,4.795e+03,2.992e+05
95.1,2.689e+05,8.811e+03,5.454e+03,2.832e+05
96.4,2.625e+05,1.364e+04,9.500e+03,2.856e+05
97.7,2.757e+05,1.885e+04,1.320e+04,3.077e+05
99.0,2.399e+05,1.946e+04,1.284e+04,2.722e+05
100.3,1.990e+05,1.993e+04,1.308e+04,2.320e+05
101.7,1.922e+05,2.115e+04,1.422e+04,2.276e+05
103.0,1.970e+05,2.442e+04,1.516e+04,2.365e+05
104.3,1.951e+05,2.309e+04,1.336e+04,2.315e+05
105.6,2.103e+05,2.340e+04,1.300e+04,2.467e+05
106.9,1.829e+05,2.240e+04,1.200e+04,2.173e+05
108.3,1.702e+05,2.034e+04,1.090e+04,2.015e+05
109.6,1.497e+05,1.654e+04,8.130e+03,1.744e+05
110.9,1.667e+05,1.740e+04,7.211e+03,1.913e+05
112.2,1.220e+05,1.267e+04,4.262e+03,1.389e+05
113.5,1.251e+05,1.390e+04,4.060e+03,1.431e+05
114.9,1.582e+05,1.684e+04,4.434e+03,1.795e+05
116.2,1.390e+05,1.480e+04,3.562e+03,1.573e+05
117.5,1.093e+05,1.406e+04,3.318e+03,1.267e+05
118.8,1.018e+05,1.418e+04,2.863e+03,1.189e+05
120.1,1.061e+05,1.967e+04,2.977e+03,1.287e+05
121.5,9.568e+04,1.818e+04,2.468e+03,1.163e+05
122.8,9.133e+04,1.538e+04,2.071e+03,1.088e+05
124.1,1.119e+05,1.961e+04,2.327e+03,1.338e+05
125.4,1.028e+05,1.749e+04,1.856e+03,1.221e+05
126.7,9.831e+04,1.502e+04,1.694e+03,1.150e+05
128.1,1.061e+05,1.374e+04,1.551e+03,1.214e+05
129.4,9.890e+04,1.218e+04,1.387e+03,1.125e+05
130.7,7.595e+04,8.175e+03,1.352e+03,8.548e+04
132.0,7.695e+04,7.512e+03,1.399e+03,8.586e+04
133.3,5.734e+04,5.144e+03,1.624e+03,6.411e+04
134.7,3.612e+04,3.221e+03,1.328e+03,4.067e+04
136.0,3.174e+04,2.833e+03,1.221e+03,3.579e+04
137.3,3.027e+04,3.025e+03,1.415e+03,3.471e+04
138.6,2.747e+04,2.511e+03,1.236e+03,3.122e+04
139.9,2.849e+04,2.591e+03,1.304e+03,3.238e+04
141.3,3.018e+04,3.050e+03,1.509e+03,3.474e+04
142.6,2.713e+04,2.597e+03,1.186e+03,3.091e+04
143.9,2.688e+04,2.536e+03,1.367e+03,3.078e+04
145.2,2.843e+04,2.353e+03,1.454e+03,3.223e+04
146.5,2.313e+04,2.152e+03,1.189e+03,2.648e+04
147.9,2.168e+04,2.014e+03,1.087e+03,2.478e+04
149.2,2.351e+04,2.101e+03,1.186e+03,2.679e+04
150.5,2.259e+04,2.344e+03,1.376e+03,2.631e+04
151.8,1.940e+04,2.030e+03,1.242e+03,2.268e+04
153.1,2.029e+04,2.077e+03,1.246e+03,2.362e+04
154.5,2.044e+04,1.970e+03,1.338e+03,2.375e+04
155.8,1.888e+04,1.793e+03,1.240e+03,2.192e+04
157.1,2.259e+04,1.931e+03,1.215e+03,2.574e+04
158.4,2.016e+04,1.951e+03,1.274e+03,2.339e+04
159.7,2.052e+04,2.065e+03,1.301e+03,2.389e+04
161.1,1.793e+04,2.144e+03,1.253e+03,2.133e+04
162.4,1.854e+04,2.070e+03,1.281e+03,2.189e+04
163.7,1.851e+04,2.004e+03,1.252e+03,2.176e+04
165.0,1.876e+04,1.954e+03,1.408e+03,2.212e+04
166.3,1.763e+04,2.276e+03,1.510e+03,2.142e+04
167.7,1.764e+04,2.210e+03,1.508e+03,2.135e+04
169.0,1.635e+04,1.900e+03,1.605e+03,1.985e+04
170.3,1.494e+04,1.861e+03,1.712e+03,1.852e+04
171.6,1.576e+04,2.088e+03,1.916e+03,1.977e+04
172.9,1.631e+04,2.001e+03,2.196e+03,2.051e+04
174.3,1.705e+04,2.247e+03,2.504e+03,2.180e+04
175.6,1.927e+04,2.672e+03,3.231e+03,2.518e+04
176.9,1.853e+04,2.825e+03,3.489e+03,2.484e+04
178.2,2.033e+04,3.086e+03,3.684e+03,2.710e+04
179.5,2.209e+04,3.770e+03,4.557e+03,3.042e+04
180.9,2.098e+04,3.863e+03,5.090e+03,2.994e+04
182.2,2.072e+04,4.610e+03,5.904e+03,3.124e+04
183.5,2.161e+04,6.071e+03,6.988e+03,3.467e+04
184.8,2.380e+04,7.972e+03,9.124e+03,4.090e+04
186.1,2.430e+04,1.003e+04,1.087e+04,4.520e+04
187.5,2.016e+04,7.766e+03,9.107e+03,3.703e+04
188.8,1.844e+04,7.643e+03,8.929e+03,3.502e+04
190.1,1.566e+04,6.778e+03,7.637e+03,3.007e+04
191.4,1.403e+04,7.776e+03,8.304e+03,3.011e+04
192.8,1.361e+04,8.870e+03,8.781e+03,3.126e+04
194.1,1.213e+04,7.274e+03,6.509e+03,2.591e+04
195.4,1.324e+04,1.047e+04,9.382e+03,3.309e+04
196.7,1.184e+04,8.793e+03,7.822e+03,2.845e+04
198.0,1.070e+04,1.130e+04,9.225e+03,3.122e+04
199.4,1.019e+04,9.947e+03,8.231e+03,2.837e+04
