freq,psd_x,psd_y,psd_z,psd_xyz
177.3,1.678e+04,2.753e+03,7.010e+03,2.654e+04
178.6,1.716e+04,2.825e+03,7.195e+03,2.718e+04
179.9,1.724e+04,2.607e+03,8.004e+03,2.785e+04
181.2,1.951e+04,2.784e+03,9.967e+03,3.226e+04
182.5,2.081e+04,2.859e+03,9.470e+03,3.314e+04
183.8,1.982e+04,2.438e+03,8.837e+03,3.109e+04
185.1,1.931e+04,2.363e+03,9.480e+03,3.115e+04
186.3,2.035e+04,2.732e+03,1.116e+04,3.423e+04
187.6,2.013e+04,2.894e+03,1.278e+04,3.581e+04
188.9,1.987e+04,2.676e+03,1.408e+04,3.662e+04
190.2,2.312e+04,3.568e+03,2.049e+04,4.718e+04
191.5,2.505e+04,4.011e+03,2.818e+04,5.723e+04
192.8,2.444e+04,3.093e+03,2.220e+04,4.974e+04
194.1,2.410e+04,3.079e+03,2.238e+04,4.956e+04
195.4,2.510e+04,3.645e+03,2.886e+04,5.761e+04
196.7,2.279e+04,3.497e+03,2.666e+04,5.295e+04
198.0,2.153e+04,3.537e+03,2.737e+04,5.244e+04
199.3,2.433e+04,4.013e+03,3.139e+04,5.973e+04
