freq,psd_x,psd_y,psd_z,psd_xyz
39.6,8.152e+02,7.694e+03,1.677e+05,1.762e+05
40.9,8.843e+02,8.037e+03,1.476e+05,1.566e+05
42.2,9.351e+02,1.032e+04,1.503e+05,1.615e+05
43.6,1.096e+03,1.168e+04,1.902e+05,2.030e+05
44.9,1.138e+03,1.299e+04,1.930e+05,2.071e+05
46.2,1.100e+03,1.263e+04,1.709e+05,1.846e+05
47.5,1.074e+03,1.356e+04,1.426e+05,1.572e+05
48.8,9.503e+02,1.410e+04,1.480e+05,1.631e+05
50.2,9.101e+02,1.228e+04,2.001e+05,2.133e+05
51.5,9.359e+02,1.394e+04,2.378e+05,2.527e+05
52.8,9.873e+02,1.777e+04,2.751e+05,2.938e+05
54.1,1.178e+03,1.836e+04,3.134e+05,3.329e+05
55.4,1.076e+03,1.965e+04,2.818e+05,3.025e+05
56.8,1.125e+03,2.119e+04,2.989e+05,3.212e+05
58.1,1.499e+03,2.504e+04,3.036e+05,3.301e+05
59.4,1.638e+03,2.940e+04,3.300e+05,3.611e+05
60.7,1.866e+03,3.240e+04,3.594e+05,3.937e+05
62.0,1.986e+03,3.523e+04,3.946e+05,4.318e+05
63.4,2.108e+03,3.336e+04,3.680e+05,4.035e+05
64.7,2.730e+03,4.217e+04,3.960e+05,4.409e+05
66.0,2.938e+03,4.057e+04,4.382e+05,4.817e+05
67.3,2.601e+03,2.909e+04,3.968e+05,4.285e+05
68.6,2.299e+03,3.013e+04,3.532e+05,3.857e+05
70.0,2.009e+03,3.527e+04,3.409e+05,3.782e+05
71.3,2.429e+03,3.720e+04,2.703e+05,3.099e+05
72.6,4.002e+03,4.347e+04,2.410e+05,2.885e+05
73.9,6.201e+03,5.122e+04,1.536e+05,2.110e+05
75.2,6.989e+03,4.757e+04,8.881e+04,1.434e+05
76.6,7.726e+03,4.546e+04,6.860e+04,1.218e+05
77.9,7.291e+03,4.477e+04,5.348e+04,1.055e+05
79.2,5.917e+03,3.924e+04,5.080e+04,9.596e+04
80.5,4.968e+03,3.355e+04,5.722e+04,9.574e+04
81.8,4.344e+03,3.096e+04,5.727e+04,9.257e+04
83.2,3.901e+03,3.046e+04,5.566e+04,9.001e+04
84.5,3.511e+03,2.626e+04,4.780e+04,7.757e+04
85.8,2.807e+03,2.459e+04,4.703e+04,7.443e+04
87.1,2.709e+03,3.033e+04,6.191e+04,9.495e+04
88.4,2.858e+03,3.091e+04,6.230e+04,9.607e+04
89.8,2.484e+03,2.913e+04,5.977e+04,9.139e+04
91.1,2.476e+03,3.206e+04,6.150e+04,9.603e+04
92.4,2.500e+03,3.628e+04,5.974e+04,9.853e+04
93.7,2.530e+03,3.969e+04,6.773e+04,1.099e+05
95.0,3.064e+03,4.328e+04,6.654e+04,1.129e+05
96.4,3.565e+03,5.046e+04,7.331e+04,1.273e+05
97.7,3.793e+03,5.593e+04,7.897e+04,1.387e+05
99.0,3.113e+03,5.241e+04,6.378e+04,1.193e+05
100.3,3.790e+03,6.994e+04,8.411e+04,1.578e+05
101.6,3.600e+03,5.491e+04,5.929e+04,1.178e+05
103.0,3.612e+03,6.598e+04,6.900e+04,1.386e+05
104.3,4.011e+03,7.214e+04,6.769e+04,1.438e+05
105.6,3.712e+03,1.033e+05,8.535e+04,1.924e+05
106.9,4.011e+03,1.115e+05,8.384e+04,1.993e+05
108.2,4.944e+03,1.480e+05,9.499e+04,2.479e+05
109.6,6.859e+03,1.733e+05,9.451e+04,2.747e+05
110.9,9.771e+03,1.816e+05,8.328e+04,2.746e+05
112.2,1.388e+04,2.138e+05,7.934e+04,3.070e+05
113.5,1.261e+04,1.664e+05,5.669e+04,2.357e+05
114.8,8.217e+03,9.611e+04,3.318e+04,1.375e+05
116.2,8.123e+03,1.046e+05,2.791e+04,1.406e+05
117.5,6.980e+03,7.839e+04,2.171e+04,1.071e+05
118.8,5.364e+03,6.092e+04,1.774e+04,8.403e+04
120.1,4.209e+03,4.828e+04,1.671e+04,6.920e+04
121.4,3.565e+03,3.710e+04,1.439e+04,5.506e+04
122.8,3.079e+03,2.488e+04,1.135e+04,3.930e+04
124.1,3.046e+03,2.611e+04,1.119e+04,4.035e+04
125.4,2.618e+03,2.853e+04,1.111e+04,4.227e+04
126.7,3.158e+03,2.507e+04,1.145e+04,3.968e+04
128.0,4.056e+03,2.182e+04,1.201e+04,3.788e+04
129.4,5.473e+03,2.298e+04,1.157e+04,4.002e+04
130.7,7.010e+03,2.027e+04,1.094e+04,3.821e+04
132.0,6.001e+03,1.310e+04,1.038e+04,2.948e+04
133.3,6.406e+03,1.237e+04,1.039e+04,2.917e+04
134.6,4.283e+03,9.271e+03,9.347e+03,2.290e+04
136.0,3.812e+03,8.640e+03,1.013e+04,2.258e+04
137.3,4.409e+03,8.149e+03,9.090e+03,2.165e+04
138.6,5.220e+03,8.083e+03,9.437e+03,2.274e+04
139.9,5.430e+03,8.075e+03,1.003e+04,2.353e+04
141.2,4.231e+03,7.848e+03,9.155e+03,2.123e+04
142.6,4.110e+03,7.867e+03,8.261e+03,2.024e+04
143.9,3.897e+03,8.377e+03,9.306e+03,2.158e+04
145.2,3.138e+03,9.365e+03,9.996e+03,2.250e+04
146.5,3.484e+03,1.088e+04,9.749e+03,2.412e+04
147.8,3.212e+03,1.137e+04,1.050e+04,2.508e+04
149.2,3.281e+03,7.759e+03,8.928e+03,1.997e+04
150.5,2.951e+03,6.929e+03,8.174e+03,1.805e+04
151.8,2.777e+03,7.477e+03,7.454e+03,1.771e+04
153.1,2.747e+03,7.652e+03,7.021e+03,1.742e+04
154.4,2.608e+03,7.338e+03,8.318e+03,1.826e+04
155.8,2.658e+03,6.418e+03,8.133e+03,1.721e+04
157.1,2.590e+03,5.953e+03,6.770e+03,1.531e+04
158.4,2.535e+03,6.031e+03,7.072e+03,1.564e+04
159.7,2.634e+03,6.866e+03,7.790e+03,1.729e+04
161.0,3.207e+03,7.105e+03,8.092e+03,1.840e+04
162.4,2.715e+03,6.139e+03,7.396e+03,1.625e+04
163.7,3.276e+03,5.475e+03,7.472e+03,1.622e+04
165.0,3.472e+03,5.148e+03,7.952e+03,1.657e+04
166.3,3.205e+03,4.851e+03,7.240e+03,1.530e+04
167.6,3.153e+03,4.321e+03,6.761e+03,1.424e+04
169.0,3.902e+03,4.381e+03,6.648e+03,1.493e+04
170.3,4.158e+03,4.339e+03,6.249e+03,1.475e+04
171.6,4.014e+03,3.192e+03,6.177e+03,1.338e+04
172.9,4.218e+03,2.990e+03,6.833e+03,1.404e+04
174.2,3.972e+03,3.312e+03,7.456e+03,1.474e+04
175.6,4.361e+03,3.675e+03,7.455e+03,1.549e+04
176.9,5.325e+03,4.125e+03,7.564e+03,1.702e+04
178.2,5.712e+03,3.984e+03,8.010e+03,1.771e+04
179.5,5.154e+03,3.732e+03,7.880e+03,1.677e+04
180.8,5.676e+03,4.335e+03,8.721e+03,1.873e+04
182.2,6.233e+03,4.873e+03,1.022e+04,2.133e+04
183.5,7.677e+03,5.544e+03,1.239e+04,2.561e+04
184.8,9.243e+03,5.313e+03,1.288e+04,2.744e+04
186.1,1.023e+04,5.728e+03,1.318e+04,2.913e+04
187.4,1.248e+04,6.175e+03,1.520e+04,3.385e+04
188.8,1.274e+04,6.794e+03,1.534e+04,3.487e+04
190.1,1.680e+04,9.332e+03,1.721e+04,4.334e+04
191.4,1.243e+04,8.313e+03,1.495e+04,3.569e+04
192.7,1.496e+04,9.253e+03,1.532e+04,3.953e+04
194.0,9.737e+03,7.006e+03,1.377e+04,3.051e+04
195.4,1.034e+04,7.296e+03,1.266e+04,3.030e+04
196.7,9.346e+03,7.186e+03,1.414e+04,3.068e+04
198.0,6.116e+03,6.471e+03,1.214e+04,2.473e+04
199.3,7.609e+03,7.141e+03,1.371e+04,2.846e+04
