freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.336e+01,9.009e+02,2.853e+03,3.828e+03
1.3,3.572e+02,3.884e+03,1.423e+04,1.847e+04
2.6,4.352e+02,4.176e+03,1.698e+04,2.159e+04
4.0,4.628e+02,4.521e+03,2.081e+04,2.580e+04
5.3,4.900e+02,4.511e+03,2.131e+04,2.632e+04
6.6,6.321e+02,5.025e+03,2.178e+04,2.743e+04
7.9,5.995e+02,5.190e+03,2.082e+04,2.661e+04
9.2,5.180e+02,5.406e+03,2.121e+04,2.713e+04
10.6,5.079e+02,5.419e+03,2.169e+04,2.762e+04
11.9,4.966e+02,5.453e+03,2.236e+04,2.831e+04
13.2,5.680e+02,5.666e+03,2.570e+04,3.193e+04
14.5,5.659e+02,6.630e+03,3.460e+04,4.179e+04
15.8,5.193e+02,6.533e+03,3.830e+04,4.535e+04
17.2,6.356e+02,6.934e+03,4.263e+04,5.020e+04
18.5,6.395e+02,7.584e+03,3.982e+04,4.805e+04
19.8,5.581e+02,7.233e+03,3.413e+04,4.192e+04
21.1,5.583e+02,5.947e+03,3.589e+04,4.240e+04
22.4,5.784e+02,6.759e+03,3.617e+04,4.350e+04
23.8,6.154e+02,7.250e+03,3.952e+04,4.739e+04
25.1,6.780e+02,6.835e+03,3.879e+04,4.630e+04
26.4,7.179e+02,7.436e+03,4.222e+04,5.037e+04
27.7,8.125e+02,9.133e+03,5.159e+04,6.154e+04
29.0,8.111e+02,8.598e+03,5.409e+04,6.350e+04
30.4,8.036e+02,9.021e+03,5.846e+04,6.829e+04
31.7,7.358e+02,8.745e+03,6.679e+04,7.627e+04
33.0,6.527e+02,6.631e+03,8.097e+04,8.826e+04
34.3,7.552e+02,7.272e+03,9.071e+04,9.874e+04
35.6,7.153e+02,7.154e+03,1.089e+05,1.168e+05
37.0,7.008e+02,7.264e+03,1.303e+05,1.383e+05
38.3,7.282e+02,8.060e+03,1.579e+05,1.666e+05
